Exchange,Volume,ds
Binance,7534304917.3,2023-04-27
Coinbase,2173823560.7,2023-04-27
Bybit,1326138132.4,2023-04-27
MEXC_Global,1128236846.2,2023-04-27
Gate.io,1113556046.1,2023-04-27
KuCoin,952992295.1,2023-04-27
OKX,907484844,2023-04-27
Bitget,859992729.5,2023-04-27
Huobi,740126519.1,2023-04-27
Kraken,599265517.9,2023-04-27
Binance_US,260780221.3,2023-04-27
Bitfinex,212432668.6,2023-04-27
Bitstamp,140497796.7,2023-04-27
Gemini,42021911.6,2023-04-27
Binance,9226561734,2023-04-26
Coinbase,1522483356.5,2023-04-26
MEXC_Global,1135326636,2023-04-26
OKX,1111312075.7,2023-04-26
Bybit,992880351.3,2023-04-26
Gate.io,938984371.7,2023-04-26
KuCoin,769152962.8,2023-04-26
Kraken,734950804.1,2023-04-26
Bitget,678546920.3,2023-04-26
Huobi,620350145.3,2023-04-26
Binance_US,319353407,2023-04-26
Bitstamp,172309248.1,2023-04-26
Bitfinex,147221275,2023-04-26
Gemini,36757095.5,2023-04-26
Binance,5604645532,2023-04-25
MEXC_Global,885211556,2023-04-25
Coinbase_Exchange,858642629.7,2023-04-25
Gate.io,711160309.4,2023-04-25
OKX,675063176.8,2023-04-25
Bybit,544387587.8,2023-04-25
Bitget,529456319.8,2023-04-25
KuCoin,511276544.9,2023-04-25
Huobi,459553831.9,2023-04-25
Kraken,445783760.2,2023-04-25
Binance US,193486797.4,2023-04-25
Bitstamp,104513956.1,2023-04-25
Bitfinex,71135848.91,2023-04-25
Gemini,21270831.41,2023-04-25
Binance,5222876816,2023-04-24
MEXC_Global,980410547.5,2023-04-24
Coinbase_Exchange,747344484.7,2023-04-24
Gate.io,657828630.2,2023-04-24
OKX,629080148.7,2023-04-24
KuCoin,557387945.9,2023-04-24
Bitget,522211379.4,2023-04-24
Bybit,516279052.7,2023-04-24
Huobi,458753493.5,2023-04-24
Kraken,402746005.1,2023-04-24
Binance US,180776349.1,2023-04-24
Bitfinex,107136308.4,2023-04-24
Bitstamp,96939030.54,2023-04-24
Gemini,17736763.28,2023-04-24
Binance,3819621462,2023-04-23
MEXC_Global,796015268.5,2023-04-23
Coinbase_Exchange,560756165.6,2023-04-23
Bitget,549762020.5,2023-04-23
Gate.io,524257186.3,2023-04-23
OKX,460062067.5,2023-04-23
KuCoin,451462536.1,2023-04-23
Bybit,446081639.8,2023-04-23
Huobi,413921013.3,2023-04-23
Kraken,191307141.1,2023-04-23
Binance US,132206350.5,2023-04-23
Bitstamp,71227377.36,2023-04-23
Bitfinex,58616999.51,2023-04-23
Gemini,12292829.45,2023-04-23
Binance,7727999826,2023-04-22
Coinbase_Exchange,1222894453,2023-04-22
OKX,930814699.7,2023-04-22
MEXC_Global,859728287.9,2023-04-22
Bitget,791945821.8,2023-04-22
Gate.io,786805347.3,2023-04-22
Bybit,681616468.7,2023-04-22
KuCoin,654588687.1,2023-04-22
Huobi,516730283,2023-04-22
Kraken,498370741.9,2023-04-22
Binance US,267484716,2023-04-22
Bitstamp,144109770.5,2023-04-22
Bitfinex,138882285.3,2023-04-22
Gemini,39812341.71,2023-04-22
Binance,8426379145,2023-04-21
Coinbase_Exchange,1546777194,2023-04-21
Gate.io,1032626861,2023-04-21
OKX,1014932625,2023-04-21
MEXC_Global,995216631.7,2023-04-21
Bybit,881898213,2023-04-21
KuCoin,873073855.5,2023-04-21
Bitget,799076149.2,2023-04-21
Kraken,636080115.5,2023-04-21
Huobi,564525096.2,2023-04-21
Binance US,291657324.9,2023-04-21
Bitstamp,157133079.2,2023-04-21
Bitfinex,155608402,2023-04-21
Gemini,21206389.01,2023-04-21
Binance,9552262971,2023-04-20
Coinbase_Exchange,1593178321,2023-04-20
OKX,1150541942,2023-04-20
MEXC_Global,1145475411,2023-04-20
Gate.io,998522386.9,2023-04-20
Bitget,910277209.5,2023-04-20
KuCoin,853204610.4,2023-04-20
Bybit,780900722.2,2023-04-20
Kraken,671804766,2023-04-20
Huobi,532686812,2023-04-20
Binance US,330626655.7,2023-04-20
Bitfinex,189987560.9,2023-04-20
Bitstamp,178128196.1,2023-04-20
Gemini,34661203.18,2023-04-20
Binance,14507592735,2023-04-19
OKX,1995161826,2023-04-19
Coinbase_Exchange,1754212346,2023-04-19
MEXC_Global,1446586226,2023-04-19
Gate.io,1188211539,2023-04-19
KuCoin,1046166727,2023-04-19
Bybit,927852725.6,2023-04-19
Kraken,856837050.2,2023-04-19
Bitget,726058454.2,2023-04-19
Huobi,653727635.8,2023-04-19
Binance US,631730741.9,2023-04-19
Bitstamp,270780459.2,2023-04-19
Bitfinex,245875559.8,2023-04-19
Gemini,35624456.4,2023-04-19
Binance,7562898239,2023-04-18
Coinbase_Exchange,1298210258,2023-04-18
Gate.io,1014050008,2023-04-18
MEXC_Global,958276430.7,2023-04-18
OKX,910928880.8,2023-04-18
KuCoin,807939751.7,2023-04-18
Bybit,667407948.7,2023-04-18
Kraken,601539706.5,2023-04-18
Bitget,600457625.9,2023-04-18
Huobi,533087033.4,2023-04-18
Binance US,261770042.3,2023-04-18
Bitfinex,148390390.5,2023-04-18
Bitstamp,141030968,2023-04-18
Gemini,36079771.26,2023-04-18
Binance,8288585632,2023-04-17
Coinbase_Exchange,1395121625,2023-04-17
Gate.io,1171202414,2023-04-17
OKX,998335633.2,2023-04-17
MEXC_Global,855352473.1,2023-04-17
KuCoin,845331754.4,2023-04-17
Bybit,700849964.6,2023-04-17
Bitget,642943151.8,2023-04-17
Huobi,513076695.8,2023-04-17
Kraken,505528272.7,2023-04-17
Binance US,286887962.8,2023-04-17
Bitfinex,183357779.7,2023-04-17
Bitstamp,154563695.1,2023-04-17
Gemini,25898507.51,2023-04-17
Binance,3921108290,2023-04-16
Coinbase_Exchange,772762131.9,2023-04-16
MEXC_Global,714829408.6,2023-04-16
Bitget,583897603.3,2023-04-16
Gate.io,579532473.2,2023-04-16
KuCoin,495969594.8,2023-04-16
OKX,472285888.2,2023-04-16
Huobi,441947628.5,2023-04-16
Bybit,426114193.6,2023-04-16
Kraken,244083121.8,2023-04-16
Binance US,135718918.1,2023-04-16
Bitfinex,88307308.68,2023-04-16
Bitstamp,44742280.93,2023-04-16
Gemini,15492882.05,2023-04-16
Binance,7169191688,2023-04-15
MEXC_Global,1494071297,2023-04-15
Coinbase_Exchange,1473594971,2023-04-15
Gate.io,1059592975,2023-04-15
OKX,863507950.8,2023-04-15
KuCoin,861659014.8,2023-04-15
Bitget,806694608.9,2023-04-15
Bybit,791137403.1,2023-04-15
Kraken,503417917.5,2023-04-15
Huobi,494456001.7,2023-04-15
Binance US,248142870.7,2023-04-15
Bitfinex,152253540.4,2023-04-15
Bitstamp,133689223.7,2023-04-15
Gemini,32350590.36,2023-04-15
Binance,10003654616,2023-04-14
Coinbase_Exchange,1849001375,2023-04-14
Gate.io,1478521213,2023-04-14
OKX,1204910613,2023-04-14
KuCoin,917702896.2,2023-04-14
Bybit,906812809.1,2023-04-14
MEXC_Global,900586702.9,2023-04-14
Bitget,801101533,2023-04-14
Kraken,756898479.9,2023-04-14
Huobi,563808198.1,2023-04-14
Binance US,346250346.6,2023-04-14
Bitfinex,243564231,2023-04-14
Bitstamp,186545737.7,2023-04-14
Gemini,35684377.72,2023-04-14
Binance,7799428496,2023-04-13
Coinbase_Exchange,1469321075,2023-04-13
MEXC_Global,1393671866,2023-04-13
Gate.io,1152740830,2023-04-13
OKX,939418126.7,2023-04-13
Bitget,759246235.5,2023-04-13
KuCoin,747369579.3,2023-04-13
Bybit,723374250.3,2023-04-13
Kraken,620352977.6,2023-04-13
Huobi,581421299.1,2023-04-13
Binance US,269053048.5,2023-04-13
Bitfinex,171515264.3,2023-04-13
Bitstamp,145441921.3,2023-04-13
Gemini,31688125.29,2023-04-13
Binance,8118405152,2023-04-12
Coinbase_Exchange,1308114431,2023-04-12
MEXC_Global,1168942785,2023-04-12
OKX,953381024.6,2023-04-12
Gate.io,830786590.9,2023-04-12
KuCoin,717343692,2023-04-12
Kraken,645723671.4,2023-04-12
Bitget,606898269.9,2023-04-12
Bybit,598206740.9,2023-04-12
Huobi,475180843,2023-04-12
Binance US,273969442.3,2023-04-12
Bitfinex,227731115.4,2023-04-12
Bitstamp,147603568.2,2023-04-12
Gemini,31848191.24,2023-04-12
Binance,11423420545,2023-04-11
MEXC_Global,1576835894,2023-04-11
Coinbase_Exchange,1570966949,2023-04-11
OKX,1375917504,2023-04-11
Gate.io,1257890619,2023-04-11
Kraken,908598826,2023-04-11
Bybit,828128550.4,2023-04-11
KuCoin,811549707.4,2023-04-11
Bitget,631367593.1,2023-04-11
Huobi,612327171.7,2023-04-11
Binance US,395392112,2023-04-11
Bitfinex,279276977.6,2023-04-11
Bitstamp,213021225.4,2023-04-11
Gemini,40642991.96,2023-04-11
Binance,3879403257,2023-04-10
Coinbase_Exchange,538316354.1,2023-04-10
MEXC_Global,522682146.3,2023-04-10
Bitget,442691380.9,2023-04-10
KuCoin,421590925.9,2023-04-10
Gate.io,408566142.1,2023-04-10
OKX,407701517.7,2023-04-10
Huobi,388061706.8,2023-04-10
Bybit,352622284.1,2023-04-10
Kraken,268743536.2,2023-04-10
Binance US,131582378.9,2023-04-10
Bitfinex,93470763.44,2023-04-10
Bitstamp,70857922.5,2023-04-10
Gemini,9965517.483,2023-04-10
Binance,2907853951,2023-04-09
Coinbase_Exchange,494115192,2023-04-09
Bitget,414976986.2,2023-04-09
MEXC_Global,390564470.4,2023-04-09
KuCoin,389130890.3,2023-04-09
Huobi,378381555.6,2023-04-09
Gate.io,306245751.2,2023-04-09
OKX,305597732.8,2023-04-09
Bybit,250430339.2,2023-04-09
Kraken,166093169.1,2023-04-09
Binance US,98322403.61,2023-04-09
Bitfinex,47794017.05,2023-04-09
Bitstamp,45900002.79,2023-04-09
Gemini,7987009.201,2023-04-09
