base_score,[559.24369722]
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.00332]",10.961010609439878
"(0.00332, 0.0106]",37.414526037452724
"(0.0106, 0.279]",17.269331534467238
"(0.279, 0.456]",7.3621831652190455
"(0.456, 0.711]",-4.079701619397144
"(0.711, 0.863]",-13.594032207307494
"(0.863, 1.0]",-18.864091494499696
"(1.0, inf]",-32.549989985575166
age,Score
"(-inf, 33.0]",-7.704302929639215
"(33.0, 39.0]",-3.1412649794765235
"(39.0, 41.0]",-6.122215788733285
"(41.0, 48.0]",-3.4912833204311973
"(48.0, 56.0]",-1.1297821465555713
"(56.0, 58.0]",11.178139093729534
"(58.0, 65.0]",4.602411544679732
"(65.0, 68.0]",18.844826216210905
"(68.0, inf]",13.338976423665155
DebtRatio,Score
"(-inf, 0.0341]",10.724073289921671
"(0.0341, 0.215]",-0.5248927732480337
"(0.215, 0.417]",8.056737726081437
"(0.417, 0.855]",-6.9280545168076815
"(0.855, 3.182]",-15.16854256521255
"(3.182, 1234.0]",-3.1655497545490965
"(1234.0, inf]",4.247460193921115
MonthlyIncome,Score
"(-inf, 1.0]",26.15788173319993
"(1.0, 820.0]",-10.658687839653767
"(820.0, 3000.0]",-6.455022907197588
"(3000.0, 4000.0]",-4.92830710014815
"(4000.0, 6628.6]",-0.2714954999655356
"(6628.6, 10633.5]",5.557201278590678
"(10633.5, 13030.5]",14.856391652813048
"(13030.5, inf]",4.881167476415563
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 2.0]",-1.1775098799954693
"(2.0, 3.0]",-0.7643322598634485
"(3.0, 5.0]",0.027303335450577615
"(5.0, 6.0]",0.5013990037765919
"(6.0, 7.0]",-0.0064088017107901156
"(7.0, 9.0]",0.5165006318892504
"(9.0, 11.0]",0.039500665559853765
"(11.0, 12.0]",0.9122087557335281
"(12.0, inf]",0.18670247614590657
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",6.080327952158632
"(0.0, 1.0]",-10.666022092107829
"(1.0, 2.0]",-19.42813303582034
"(2.0, inf]",-26.423810969808716
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",5.888313278341941
"(0.0, 1.0]",-30.878080064847378
"(1.0, 2.0]",-37.46503660013147
"(2.0, inf]",-43.187735675916414
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-4.43659967433772
"(0.0, 1.0]",6.3514660106886245
"(1.0, 2.0]",1.683289157245646
"(2.0, inf]",-5.618034825544178
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",4.024754593172216
"(0.0, 1.0]",-26.798640075975744
"(1.0, 2.0]",-31.72758636796534
"(2.0, inf]",-31.52156010476808
NumberOfDependents,Score
"(-inf, 0.0]",1.2432438444492573
"(0.0, 1.0]",-2.161463105495357
"(1.0, 2.0]",-2.1737365768492354
"(2.0, inf]",0.31796022137499075
