base_score,[558.02399702]
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.00332]",11.654605608399532
"(0.00332, 0.0106]",39.78205664869707
"(0.0106, 0.279]",18.362106864633148
"(0.279, 0.456]",7.828050192153876
"(0.456, 0.711]",-4.337858530405377
"(0.711, 0.863]",-14.454240548549741
"(0.863, 1.0]",-20.057780652070083
"(1.0, inf]",-34.6097006340384
age,Score
"(-inf, 33.0]",-8.915224055186854
"(33.0, 39.0]",-3.634992206888287
"(39.0, 41.0]",-7.084472919773381
"(41.0, 48.0]",-4.040024558488956
"(48.0, 56.0]",-1.307355261349328
"(56.0, 58.0]",12.93505920662298
"(58.0, 65.0]",5.325793973799509
"(65.0, 68.0]",21.80675520328312
"(68.0, inf]",15.435525390146985
DebtRatio,Score
"(-inf, 0.0341]",6.421990334553435
"(0.0341, 0.215]",-0.3143261170775196
"(0.215, 0.417]",4.824686516601092
"(0.417, 0.855]",-4.1487873069658185
"(0.855, 3.182]",-9.083510631599651
"(3.182, 1234.0]",-1.895653766779766
"(1234.0, inf]",2.5435436307020134
MonthlyIncome,Score
"(-inf, 1.0]",26.411347905430034
"(1.0, 820.0]",-10.761969016442777
"(820.0, 3000.0]",-6.517571165677876
"(3000.0, 4000.0]",-4.976061698513184
"(4000.0, 6628.6]",-0.27412625293918413
"(6628.6, 10633.5]",5.61104977254609
"(10633.5, 13030.5]",15.000347985508384
"(13030.5, inf]",4.928465298497648
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 2.0]",-2.8607366268490186
"(2.0, 3.0]",-1.8569298890995825
"(3.0, 5.0]",0.0663329056389006
"(5.0, 6.0]",1.218138819162031
"(6.0, 7.0]",-0.0155700551644972
"(7.0, 9.0]",1.2548279216493081
"(9.0, 11.0]",0.09596607440136473
"(11.0, 12.0]",2.216192868691101
"(12.0, inf]",0.45358991963282314
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",6.54741423210331
"(0.0, 1.0]",-11.485377991988477
"(1.0, 2.0]",-20.92058779440782
"(2.0, inf]",-28.453668514493884
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",5.022613380163653
"(0.0, 1.0]",-26.338384314215293
"(1.0, 2.0]",-31.95692641019395
"(2.0, inf]",-36.83827419011051
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-2.101639715657718
"(0.0, 1.0]",3.0087215887256984
"(1.0, 2.0]",0.7973825915072109
"(2.0, inf]",-2.6612915250403657
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",3.771753863810713
"(0.0, 1.0]",-25.114046561474186
"(1.0, 2.0]",-29.733153587990913
"(2.0, inf]",-29.540078374019103
NumberOfDependents,Score
"(-inf, 0.0]",0.9550446612428424
"(0.0, 1.0]",-1.6604094269947287
"(1.0, 2.0]",-1.6698377570393719
"(2.0, inf]",0.24425313929167114
