,PassengerId,Survived,Sex,Age,SibSp,Parch,Ticket,Fare,Pclass_1,Pclass_2,Pclass_3,Master,Miss,Mr,Mrs,Officer,Royalty,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_U,FamilySize,Family_Single,Family_Small,Family_large
0,1,0.0,1,22.0,1,0,A/5 21171,7.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
1,2,1.0,0,38.0,1,0,PC 17599,71.2833,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
2,3,1.0,0,26.0,0,0,STON/O2. 3101282,7.925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
3,4,1.0,0,35.0,1,0,113803,53.1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
4,5,0.0,1,35.0,0,0,373450,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
5,6,0.0,1,29.9,0,0,330877,8.4583,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
6,7,0.0,1,54.0,0,0,17463,51.8625,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
7,8,0.0,1,2.0,3,1,349909,21.075,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1
8,9,1.0,0,27.0,0,2,347742,11.1333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
9,10,1.0,0,14.0,1,0,237736,30.0708,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
10,11,1.0,0,4.0,1,1,PP 9549,16.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
11,12,1.0,0,58.0,0,0,113783,26.55,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
12,13,0.0,1,20.0,0,0,A/5. 2151,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
13,14,0.0,1,39.0,1,5,347082,31.275,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1
14,15,0.0,0,14.0,0,0,350406,7.8542,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
15,16,1.0,0,55.0,0,0,248706,16.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
16,17,0.0,1,2.0,4,1,382652,29.125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1
17,18,1.0,1,29.9,0,0,244373,13.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
18,19,0.0,0,31.0,1,0,345763,18.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
19,20,1.0,0,29.9,0,0,2649,7.225,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
20,21,0.0,1,35.0,0,0,239865,26.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21,22,1.0,1,34.0,0,0,248698,13.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
22,23,1.0,0,15.0,0,0,330923,8.0292,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
23,24,1.0,1,28.0,0,0,113788,35.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
24,25,0.0,0,8.0,3,1,349909,21.075,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1
25,26,1.0,0,38.0,1,5,347077,31.3875,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1
26,27,0.0,1,29.9,0,0,2631,7.225,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
27,28,0.0,1,19.0,3,2,19950,263.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1
28,29,1.0,0,29.9,0,0,330959,7.8792,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
29,30,0.0,1,29.9,0,0,349216,7.8958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
30,31,0.0,1,40.0,0,0,PC 17601,27.7208,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
31,32,1.0,0,29.9,1,0,PC 17569,146.5208,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
32,33,1.0,0,29.9,0,0,335677,7.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
33,34,0.0,1,66.0,0,0,C.A. 24579,10.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
34,35,0.0,1,28.0,1,0,PC 17604,82.1708,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
35,36,0.0,1,42.0,1,0,113789,52.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
36,37,1.0,1,29.9,0,0,2677,7.2292,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
37,38,0.0,1,21.0,0,0,A./5. 2152,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
38,39,0.0,0,18.0,2,0,345764,18.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
39,40,1.0,0,14.0,1,0,2651,11.2417,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
40,41,0.0,0,40.0,1,0,7546,9.475,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
41,42,0.0,0,27.0,1,0,11668,21.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
42,43,0.0,1,29.9,0,0,349253,7.8958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
43,44,1.0,0,3.0,1,2,SC/Paris 2123,41.5792,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
44,45,1.0,0,19.0,0,0,330958,7.8792,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
45,46,0.0,1,29.9,0,0,S.C./A.4. 23567,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
46,47,0.0,1,29.9,1,0,370371,15.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
47,48,1.0,0,29.9,0,0,14311,7.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
48,49,0.0,1,29.9,2,0,2662,21.6792,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
49,50,0.0,0,18.0,1,0,349237,17.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
50,51,0.0,1,7.0,4,1,3101295,39.6875,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1
51,52,0.0,1,21.0,0,0,A/4. 39886,7.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
52,53,1.0,0,49.0,1,0,PC 17572,76.7292,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0
53,54,1.0,0,29.0,1,0,2926,26.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
54,55,0.0,1,65.0,0,1,113509,61.9792,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
55,56,1.0,1,29.9,0,0,19947,35.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
56,57,1.0,0,21.0,0,0,C.A. 31026,10.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
57,58,0.0,1,28.5,0,0,2697,7.2292,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
58,59,1.0,0,5.0,1,2,C.A. 34651,27.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
59,60,0.0,1,11.0,5,2,CA 2144,46.9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1
60,61,0.0,1,22.0,0,0,2669,7.2292,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
