date,ETH_price,total_volume,market_cap,coin_name
00:00.0,2.83162,90622,0,ethereum
00:00.0,1.33075,368070,80339475,ethereum
00:00.0,0.687585709,400464.0745,41556309.21,ethereum
00:00.0,1.067378879,1518998.205,64539006.31,ethereum
00:00.0,1.256613175,2073893.345,76013261.05,ethereum
00:00.0,1.825395446,4380142.704,110468836.2,ethereum
00:00.0,1.825974891,4355618.379,110555313.3,ethereum
00:00.0,1.670949669,2519633.271,101215246.4,ethereum
00:00.0,1.476607254,3032657.656,89480939.24,ethereum
00:00.0,1.203871431,1880092.215,87313387.95,ethereum
00:00.0,1.281393052,1696013.472,92957858.06,ethereum
00:00.0,1.252738652,1537200.841,90920695.87,ethereum
00:00.0,1.484195074,2967730.502,107749185.8,ethereum
00:00.0,1.406314774,1742881.808,102131022.8,ethereum
00:00.0,1.380721536,914588.654,100308763.8,ethereum
00:00.0,1.3551821,1610695.873,98488001.44,ethereum
00:00.0,1.246571683,696476.5553,90625948.32,ethereum
00:00.0,1.160828328,1053169.386,84423109.08,ethereum
00:00.0,1.119639156,1151700.042,81454879.47,ethereum
00:00.0,1.133690694,681460.2394,82504022.82,ethereum
00:00.0,1.188895699,715178.7899,86549490.63,ethereum
00:00.0,1.174343905,607200.8915,85515599.87,ethereum
00:00.0,1.32235088,1045589.321,96321049.69,ethereum
00:00.0,1.353368417,1197102.049,98608290.54,ethereum
00:00.0,1.350786689,610368.2431,98446826.49,ethereum
00:00.0,1.278810765,629746.1193,93224371.26,ethereum
00:00.0,1.26277072,583923.7452,92075482.63,ethereum
00:00.0,1.2695201,333502.6612,92596631.55,ethereum
00:00.0,1.334976229,350815.4669,97402782.62,ethereum
00:00.0,1.298883134,317470.0943,94801706.71,ethereum
00:00.0,1.25622344,487005.2028,91718481.32,ethereum
00:00.0,1.236033261,419148.8018,90274690.4,ethereum
00:00.0,1.206529945,367774.3319,88150718.67,ethereum
00:00.0,1.167234841,639527.9175,85308945.82,ethereum
00:00.0,0.976509093,1901710.695,71394234.95,ethereum
00:00.0,1.038203585,800623.2998,75931677.01,ethereum
00:00.0,0.93865215,658895.196,68673818.8,ethereum
